Figure Index, Root Mean Square, Pearson Correlation Coefficent
0, 0.06751244718125218, 0.17157749822119875
1, 0.0826570102502112, 0.3767906854172207
2, 0.05057283098425137, 0.3912806565232722
3, 0.18691519130058915, 0.5439704583754704
4, 0.016530890279254053, 0.8257711497678324
5, 0.1272188268606947, 0.9406126415932095
